,name,position,targets,receptions,catch percentage,yards,touchdowns
387,Jermar Jefferso,rb,5,4,80.0%,23,0
388,Duke Johnso,rb,5,4,80.0%,41,0
389,Jakob Johnso,FB,5,4,80.0%,43,0
390,Phillip Lindsa,,5,4,80.0%,45,1
391,Sean McKeo,te,6,4,66.7%,27,1
392,Kene Nwangw,rb,5,4,80.0%,9,0
393,Qadree Olliso,rb,6,4,66.7%,12,0
394,Adrian Peterso,,4,4,100.0%,8,0
395,Amari Rodger,wr,8,4,50.0%,45,0
396,Wendell Smallwoo,rb,5,4,80.0%,22,0
397,Willie Snea,,8,4,50.0%,38,0
398,Jack Stol,te,5,4,80.0%,22,0
399,J.J. Taylo,rb,4,4,100.0%,8,0
400,Ke'Shawn Vaugh,rb,8,4,50.0%,26,0
401,,,,,,,
402,Kristian Wilkerso,wr,8,4,50.0%,42,2
403,Jonathan William,rb,6,4,66.7%,28,0
404,Cam Aker,rb,3,3,100.0%,10,0
405,Ryquell Armstea,rb,4,3,75.0%,16,0
406,Malcolm Brow,rb,5,3,60.0%,10,0
407,Michael Burto,rb,3,3,100.0%,31,0
408,Greg Dortc,wr,3,3,100.0%,15,0
409,Alex Erickso,wr,4,3,75.0%,55,0
410,Reggie Gillia,fb,5,3,60.0%,23,0
411,Demetrius Harri,te,6,3,50.0%,10,0
412,K.J. Hil,cb,3,3,100.0%,30,0
413,Tommy Hudso,te,6,3,50.0%,31,0
414,Tyree Jackso,qb,7,3,42.9%,22,1
415,Andy Janovic,rb,4,3,75.0%,9,0
416,Keith Kirkwoo,wr,7,3,42.9%,17,0
417,Patrick Lair,rb,3,3,100.0%,17,0
418,D.J. Montgomer,wr,6,3,50.0%,36,0
419,Jason Moor,wr,4,3,75.0%,56,0
420,Chris Myaric,te,6,3,50.0%,17,1
421,Gabe Naber,fb,3,3,100.0%,17,0
422,Adam Prentic,fb,3,3,100.0%,16,0
423,Jaylen Samuel,te,4,3,75.0%,14,0
424,Trey Sermo,rb,4,3,75.0%,26,0
425,Kaden Smit,te,3,3,100.0%,33,0
426,Jeremy Sprinkl,te,3,3,100.0%,31,0
427,Auden Tat,wr,4,3,75.0%,39,1
428,Jonathan War,rb,4,3,75.0%,34,0
429,Derek Wat,rb,3,3,100.0%,15,0
430,Trevon Wesc,TE,5,3,60.0%,35,0
431,Mitchell Wilco,te,5,3,60.0%,16,0
432,,,,,,,
433,Shane Zylstr,te,7,3,42.9%,34,0
434,JJ Arcega-Whitesid,wr,5,2,40.0%,36,0
435,Kalen Ballag,rb,7,2,28.6%,8,0
436,Cameron Batso,wr,5,2,40.0%,15,1
437,Khari Blasingam,rb,2,2,100.0%,4,0
438,Reggie Bonnafo,rb,2,2,100.0%,12,0
439,Mike Boon,rb,2,2,100.0%,22,0
440,Daniel Brow,wr,2,2,100.0%,29,0
441,Derek Carrie,te,2,2,100.0%,13,0
442,Cethan Carte,te,2,2,100.0%,16,0
443,Dominique Dafne,te,4,2,50.0%,34,0
444,Taylor Decke,LT,2,2,100.0%,4,1
445,Darrynton Evan,rb,2,2,100.0%,11,0
446,Jesper Horste,wr,3,2,66.7%,21,2
447,Jordan Howar,rb,5,2,40.0%,19,0
448,Trenton Irwi,wr,5,2,40.0%,34,0
449,Tyron Johnso,,5,2,40.0%,16,0
450,Marcus Kem,wr,5,2,40.0%,24,0
451,Jake Kumero,wr,6,2,33.3%,28,0
452,Marlon Mac,rb,5,2,40.0%,8,0
453,Racey McMat,wr,6,2,33.3%,8,0
454,Jaydon Micken,,3,2,66.7%,10,0
455,Stanley Morgan Jr,wr,4,2,50.0%,11,0
456,Dazz Newsom,wr,5,2,40.0%,23,0
457,Gunner Olszewsk,wr,3,2,66.7%,31,0
458,Dezmon Patmo,wr,4,2,50.0%,21,1
459,Scottie Phillip,rb,3,2,66.7%,9,0
460,Kevin Rade,te,3,2,66.7%,8,0
461,Trey Raga,rb,2,2,100.0%,6,0
462,Richard Rodger,te,2,2,100.0%,11,0
463,,,,,,,
464,C.J. Saunder,wr,2,2,100.0%,11,0
465,David Sill,wr,6,2,33.3%,17,0
466,Benny Snell Jr,rb,4,2,50.0%,13,0
467,Johnny Stanto,rb,2,2,100.0%,7,1
468,Luke Stocke,te,2,2,100.0%,12,0
469,Mike Stracha,wr,3,2,66.7%,26,0
470,Malik Taylo,wr,3,2,66.7%,14,0
471,Patrick Taylo,rb,2,2,100.0%,3,0
472,Trent Taylo,wr,3,2,66.7%,41,0
473,Tylan Wallac,wr,6,2,33.3%,23,0
474,Austin Walte,rb,3,2,66.7%,9,0
475,Dwayne Washingto,rb,2,2,100.0%,12,0
476,Tyrell William,wr,3,2,66.7%,14,0
477,Ethan Wol,te,2,2,100.0%,8,0
478,Kenny Yeboa,te,3,2,66.7%,36,0
479,Alex Arma,,1,1,100.0%,1,1
480,Nick Bawde,rb,1,1,100.0%,20,0
481,Nick Bellor,lb,1,1,100.0%,4,0
482,Tarik Blac,wr,2,1,50.0%,10,0
483,Miles Boyki,wr,1,1,100.0%,6,0
484,Nick Boyl,te,2,1,50.0%,2,0
485,Garrett Bradbur,C,1,1,100.0%,21,0
486,Gary Brightwel,rb,1,1,100.0%,6,0
487,Keke Coute,wr,1,1,100.0%,5,0
